mID,aID
44912,9780
44912,61981
44912,118
44912,6574
44912,117885
44912,565498
10193,31
10193,12898
10193,13726
10193,3234
10193,2232
10193,2395
10193,5149
10193,12900
10193,7907
10193,7167
10193,12133
10193,21485
10193,109869
10193,8655
10193,10669
10193,24358
10193,60074
10193,167295
10193,7882
10193,19545
10193,157626
10193,21125
10193,59784
10193,84495
10193,52699
10193,84493
10193,35159
10193,10
10193,214701
10193,86007
10193,15831
534,3894
534,65731
534,21028
534,56455
534,18997
534,1283
534,4238
534,11086
534,76543
534,1100
168259,12835
168259,8167
168259,18918
168259,17647
168259,8169
168259,8171
168259,22123
168259,938
168259,6856
168259,976
168259,61697
168259,90633
168259,155
168259,53252
168259,114019
168259,118593
168259,80619
168259,58197
72190,287
72190,175826
72190,1186840
72190,18473
72190,7219
72190,52
72190,28657
72190,12982
72190,677
72190,17839
72190,23440
127585,6968
127585,5530
127585,17288
127585,72129
127585,4587
127585,10690
127585,27578
127585,22970
127585,1327
127585,2387
127585,3292
127585,7090
127585,11023
127585,55089
127585,84222
127585,10696
127585,11006
127585,429
127585,4250
127585,7013
127585,64674
127585,115596
54138,62064
54138,17306
54138,8691
54138,1372
54138,11108
54138,68842
54138,71580
54138,21028
54138,21089
54138,27811
54138,59860
54138,1192492
54138,1295
54138,74568
54138,41421
54138,1749
54138,42317
54138,162924
54138,56448
54138,24362
54138,60279
54138,19278
81005,3292
81005,3061
81005,2283
81005,6972
81005,1665
81005,1125
81005,11184
81005,2440
81005,53916
81005,202760
81005,1714
81005,126042
81005,8399
64682,6193
64682,2219
64682,36662
64682,33192
64682,52848
64682,76512
64682,35780
9543,131
9543,59620
9543,2282
9543,658
9543,20286
9543,52890
68726,17605
68726,56365
68726,95101
68726,2372
68726,39659
68726,94864
68726,112692
68726,15376
68726,5365
68726,10847
68726,86237
68726,59198
38356,10959
38356,6949
38356,83586
38356,3910
38356,19536
38356,8169
38356,1331
38356,1749
38356,1241
38356,18352
38356,21088
38356,19540
38356,12797
38356,81178
38356,2962
38356,1736
38356,15831
38356,84495
38356,78798
38356,117187
38356,31531
38356,24305
38356,14721
38356,95875
38356,19541
217,3
217,112
217,10959
217,5538
217,650
217,5049
217,388
217,36218
217,52761
217,52762
217,52760
217,58210
217,109667
217,43776
217,21723
105864,2954
105864,3910
105864,18324
105864,60460
105864,10690
105864,16431
105864,7907
62177,9015
62177,477
62177,9188
62177,7056
62177,9013
62177,24264
62177,1923
62177,7907
188927,62064
188927,17306
188927,1372
188927,11108
188927,8691
188927,68842
188927,21028
188927,17605
188927,1295
188927,21041
188927,17305
188927,74242
10681,60074
10681,20753
10681,7907
10681,11074
10681,35159
10681,78317
10681,167295
10681,12890
10681,86006
10681,84494
10681,84495
10681,214701
10681,84493
10681,24358
10681,157626
10681,7882
10681,7
10681,86007
10681,10205
5174,66
5174,18897
5174,9195
5174,2201
5174,4492
5174,21629
5174,13314
5174,39829
14161,3036
14161,2956
14161,5294
14161,9030
14161,17485
14161,17867
14161,57755
14161,2047
14161,83852
14161,21722
14161,18364
14161,230
14161,16756
14161,5274
14161,39829
14161,42711
17979,64
17979,206
17979,57675
17979,5472
17979,2130
17979,32
17979,382
17979,72305
76757,18973
76757,38673
76757,48
76757,37632
76757,1216606
76757,47625
76757,19655
76757,25451
76757,11276
76757,1388891
76757,1394359
258489,28846
258489,234352
258489,27319
258489,2231
258489,938
258489,388
258489,21343
258489,139654
258489,1363049
411,5529
411,3896
411,3063
411,5530
411,388
411,2467
411,2050
411,5538
411,4757
411,147
246655,5530
246655,17288
246655,72129
246655,3292
246655,25072
246655,9827
246655,55089
246655,429
246655,113505
246655,81364
246655,7624
246655,51389
246655,6752
246655,6968
155,3894
155,1810
155,6383
155,3895
155,1579
155,64
155,192
155,2037
155,21315
155,13939
155,1904
155,18052
155,64856
155,886
155,8396
155,75076
155,18070
155,1360008
155,1209055
155,127005
14160,68812
14160,290
14160,10
14160,18792
14160,7907
14160,84493
14160,52699
14160,84494
14160,84495
14160,12890
15512,19274
15512,368
15512,41419
15512,22226
15512,2628
15512,11678
15512,21200
15512,58769
15512,78303
15512,24305
15512,4175
15512,56322
15512,27105
15512,9137
15512,18864
15512,12098
15512,64151
15512,1077844
15512,12080
15512,17697
15512,1448984
1726,3223
1726,18288
1726,1229
1726,17857
1726,12052
1726,57452
1726,6162
1726,57451
1726,9048
1726,15277
1726,2231
1726,7624
1726,173810
1726,17200
1726,12708
1726,40275
1726,142213
1726,27031
1726,1429470
44826,2282
44826,6730
44826,77996
44826,56734
44826,5538
44826,1246
44826,113
44826,15737
44826,72873
44826,47468
44826,10983
44826,9642
44826,39185
44826,1714
44826,1363049
44826,1359461
44826,10692
44826,1032
8487,2888
8487,8945
8487,11181
8487,3136
8487,588
8487,15854
8487,1475
8487,31647
8487,39126
8487,71562
8487,11764
8487,48136
1735,18269
1735,1336
1735,10727
1735,49
1735,1620
1735,15498
1735,10779
297761,2888
297761,234352
297761,92404
297761,19492
297761,7499
297761,224181
297761,19487
297761,31164
297761,1289968
297761,33527
297761,198150
297761,928572
297761,4238
297761,35029
297761,84217
297761,130081
297761,190900
297761,880
297761,132157
297761,41561
297761,1574936
2698,4495
2698,16858
2698,1230
2698,6860
2698,8265
2698,192
2698,27102
2698,27104
2698,21007
2698,27105
2698,14329
2698,28640
2698,1349629
137113,500
137113,5081
137113,2039
137113,2053
137113,115679
137113,1284
137113,17352
137113,12799
9804,1269
9804,49832
9804,10478
9804,2778
9804,70851
9804,47458
9804,1240
9804,2169
